iter	Logloss
0	0.682309865
1	0.6718913863
2	0.6628285594
3	0.6529991652
4	0.6426152984
5	0.6324580721
6	0.623978628
7	0.6140913614
8	0.6081983888
9	0.5995580346
10	0.5902575774
11	0.5824843332
12	0.5743582094
13	0.5676488811
14	0.5602395663
15	0.5532110156
16	0.5451119326
17	0.5388786875
18	0.532043934
19	0.5276838425
20	0.5209046117
21	0.5131374043
22	0.5068942929
23	0.5025681265
24	0.4973176695
25	0.4927417951
26	0.4864420863
27	0.4804895722
28	0.47435837
29	0.4714675783
30	0.4653390585
31	0.4606722808
32	0.4558226935
33	0.4509290933
34	0.4456937423
35	0.4407350961
36	0.435510105
37	0.4306568204
38	0.4281425143
39	0.4240949883
40	0.4206142317
41	0.4181444813
42	0.413566821
43	0.4095661779
44	0.4048029659
45	0.400830644
46	0.3990991979
47	0.3963326473
48	0.392933399
49	0.3890350643
50	0.3855856608
51	0.3816979475
52	0.379220939
53	0.377140548
54	0.3748245828
55	0.3716732473
56	0.3700013264
57	0.3668096283
58	0.363100709
59	0.3598022345
60	0.3583128775
61	0.3549858086
62	0.3515737443
63	0.3482724761
64	0.3462146885
65	0.3427726622
66	0.3411334794
67	0.3377994101
68	0.3347998141
69	0.3324154084
70	0.3296835928
71	0.3266288414
72	0.3235333544
73	0.3208412867
74	0.3181485192
75	0.3158381029
76	0.3143608834
77	0.3118621861
78	0.3107684119
79	0.3087809533
80	0.3063090747
81	0.3043272778
82	0.3029022077
83	0.3005990245
84	0.298986713
85	0.2980190134
86	0.2970662217
87	0.2952655434
88	0.2932259822
89	0.2907698074
90	0.28894674
91	0.2868214381
92	0.2852253728
93	0.2835524558
94	0.2811762167
95	0.2789544752
96	0.2769591556
97	0.2747168341
98	0.27289964
99	0.2713396742
100	0.2696893763
101	0.2680926774
102	0.2662589987
103	0.2646826878
104	0.2625379444
105	0.261041003
106	0.2599964084
107	0.2588311269
108	0.2573584727
109	0.2564950137
110	0.2558482463
111	0.2545393281
112	0.2531265233
113	0.2519032976
114	0.2504120084
115	0.2491980045
116	0.2478275611
117	0.2467492232
118	0.2459131149
119	0.2448380795
120	0.2440918662
121	0.2425557199
122	0.2414869299
123	0.2406373765
124	0.239363138
125	0.2383807375
126	0.2373230324
127	0.2358947214
128	0.2347348159
129	0.2337951288
130	0.2325338756
131	0.2315947371
132	0.2307430518
133	0.2299254567
134	0.2288882521
135	0.2274785137
136	0.2263187861
137	0.2255220614
138	0.2246489865
139	0.2238990969
140	0.2233302025
141	0.2225063733
142	0.2214942237
143	0.2207530071
144	0.2198810994
145	0.2189251382
146	0.2177466695
147	0.2170215945
148	0.2162218397
149	0.2156861215
150	0.2151678243
151	0.2145986721
152	0.2135892699
153	0.2128543956
154	0.2121675194
155	0.2114248729
156	0.2109466729
157	0.21003389
158	0.2093121074
159	0.2088787122
160	0.2082836993
161	0.207207271
162	0.2064327117
163	0.2061164788
164	0.2056309603
165	0.2048630153
166	0.2039853898
167	0.2035421619
168	0.2030558522
169	0.2026297706
170	0.2021613899
171	0.2018164467
172	0.2012471381
173	0.2004528104
174	0.1998143395
175	0.1994134739
176	0.1986742359
177	0.1978379535
178	0.1971048898
179	0.1965167629
180	0.1956947643
181	0.1952097197
182	0.1946695018
183	0.1940036226
184	0.1935119119
185	0.1929049544
186	0.1926195586
187	0.1919926044
188	0.1912743826
189	0.1908649974
190	0.1904636109
191	0.1900425945
192	0.1895877846
193	0.1890063066
194	0.188545015
195	0.1880342675
196	0.1873942177
197	0.1864425716
198	0.1858007398
199	0.1852464227
200	0.1847415681
201	0.1842310807
202	0.1837768663
203	0.1832071276
204	0.1826189722
205	0.1819515893
206	0.1814713148
207	0.180928536
208	0.1803630748
209	0.1800885213
210	0.1795980644
211	0.1791339242
212	0.1789095332
213	0.1784980387
214	0.1780335016
215	0.1776651026
216	0.1772746915
217	0.1768471225
218	0.1764151933
219	0.1760630008
220	0.1757102357
221	0.1752616414
222	0.1747600501
223	0.174324788
224	0.1741433797
225	0.1736523884
226	0.1732235953
227	0.1727932833
228	0.1724843025
229	0.1720580441
230	0.1716538885
231	0.1713202114
232	0.1710017471
233	0.1704453874
234	0.1701653149
235	0.1698203373
236	0.1693484431
237	0.1689908354
238	0.1687418875
239	0.168311613
240	0.1680502244
241	0.1676414042
242	0.1672841992
243	0.1669361498
244	0.1665314302
245	0.1661502481
246	0.1656488964
247	0.1653397733
248	0.1650408772
249	0.1648279738
250	0.1645965172
251	0.1642643741
252	0.1639427181
253	0.1636831544
254	0.1631236715
255	0.162776734
256	0.1624933615
257	0.1621057334
258	0.1618979651
259	0.1615767995
260	0.1611603415
261	0.1608151865
262	0.160582482
263	0.1603754387
264	0.1601817479
265	0.1598465834
266	0.1595177055
267	0.1593701123
268	0.1591583174
269	0.158885963
270	0.158739397
271	0.15854936
272	0.1581168842
273	0.1577190863
274	0.1574478012
275	0.1571719435
276	0.1568898426
277	0.1565057355
278	0.1561929283
279	0.1560455671
280	0.1558328544
281	0.1555794726
282	0.1552533767
283	0.1551058717
284	0.154926278
285	0.1546446162
286	0.1544032154
287	0.1541249461
288	0.1539412868
289	0.1536007262
290	0.1533613046
291	0.1532575939
292	0.1529246582
293	0.1527943775
294	0.1525970464
295	0.152467148
296	0.1522078658
297	0.151996937
298	0.1518413645
299	0.1515238545
300	0.1512590713
301	0.151072086
302	0.1509277757
303	0.1507224852
304	0.1504792041
305	0.1501937481
306	0.1500455306
307	0.1497941144
308	0.1496382793
309	0.1492968975
310	0.1490161743
311	0.1487686664
312	0.1486774585
313	0.1485748775
314	0.148407951
315	0.148219668
316	0.1480448923
317	0.1477695556
318	0.1475312852
319	0.1472118947
320	0.1469173289
321	0.1467853117
322	0.146666167
323	0.1463638563
324	0.146148696
325	0.1459570184
326	0.1457989474
327	0.1456888947
328	0.1455996214
329	0.1454427403
330	0.1451433252
331	0.1449889019
332	0.144799524
333	0.1446383828
334	0.1445655707
335	0.1443447722
336	0.1442221265
337	0.1441100351
338	0.1438759636
339	0.1436882719
340	0.143565058
341	0.1434608324
342	0.1433487436
343	0.1432511895
344	0.1431297317
345	0.1428421035
346	0.1427443998
347	0.1425629508
348	0.1424026581
349	0.1423133086
350	0.1421694068
351	0.1419487538
352	0.1417691789
353	0.1416534795
354	0.1414480598
355	0.1411989655
356	0.1410437825
357	0.1409893837
358	0.1408388252
359	0.1407353871
360	0.1405114161
361	0.1404317582
362	0.1402659793
363	0.1401049427
364	0.1398108572
365	0.1396909667
366	0.1395015266
367	0.1394224324
368	0.1392897111
369	0.1391659149
370	0.1389303181
371	0.1388278808
372	0.1385698388
373	0.1384723444
374	0.1381786716
375	0.1380014471
376	0.1377316363
377	0.1375947122
378	0.1374033695
379	0.1372651422
380	0.1370632437
