iter	Passed	Remaining
0	54	54677
1	58	29107
2	61	20589
3	65	16317
4	69	13770
5	73	12120
6	77	10926
7	79	9881
8	84	9328
9	87	8659
10	92	8333
11	99	8191
12	103	7863
13	109	7736
14	115	7585
15	119	7348
16	122	7102
17	127	6954
18	133	6875
19	136	6674
20	139	6515
21	143	6364
22	149	6361
23	154	6289
24	158	6200
25	164	6164
26	170	6138
27	173	6029
28	179	6007
29	184	5964
30	196	6147
31	200	6073
32	203	5970
33	207	5897
34	214	5914
35	218	5852
36	221	5759
37	224	5683
38	230	5691
39	235	5640
40	238	5581
41	241	5512
42	246	5485
43	252	5490
44	256	5438
45	260	5396
46	263	5345
47	266	5292
48	270	5243
49	273	5187
50	276	5148
51	281	5138
52	284	5091
53	287	5033
54	290	4985
55	293	4946
56	295	4894
57	298	4845
58	300	4793
59	302	4746
60	307	4726
61	309	4677
62	311	4632
63	313	4587
64	315	4543
65	318	4502
66	321	4471
67	324	4442
68	326	4404
69	328	4369
70	331	4335
71	333	4300
72	336	4269
73	339	4243
74	341	4212
75	344	4182
76	346	4150
77	348	4121
78	351	4093
79	354	4078
80	356	4049
81	359	4022
82	361	3995
83	363	3967
84	366	3942
85	370	3934
86	372	3911
87	375	3894
88	379	3887
89	384	3886
90	390	3902
91	394	3896
92	398	3882
93	401	3870
94	405	3859
95	409	3854
96	412	3840
97	416	3835
98	420	3826
99	422	3806
100	425	3784
101	427	3766
102	431	3755
103	433	3737
104	436	3719
105	438	3699
106	440	3679
107	443	3662
108	445	3643
109	449	3634
110	451	3617
111	454	3599
112	456	3582
113	459	3567
114	462	3556
115	464	3541
116	468	3532
117	470	3515
118	472	3497
119	474	3482
120	477	3467
121	480	3456
122	482	3439
123	484	3424
124	487	3409
125	489	3397
126	491	3381
127	495	3372
128	497	3360
129	500	3349
130	502	3335
131	505	3322
132	507	3310
133	511	3304
134	513	3291
135	516	3278
136	518	3266
137	521	3254
138	523	3244
139	526	3237
140	529	3226
141	532	3215
142	534	3205
143	537	3196
144	540	3189
145	543	3179
146	546	3168
147	548	3156
148	550	3144
149	552	3132
150	555	3124
151	558	3116
152	560	3103
153	562	3092
154	565	3080
155	567	3069
156	569	3059
157	573	3053
158	575	3044
159	578	3034
160	580	3023
161	582	3013
162	585	3004
163	588	2998
164	590	2990
165	593	2981
166	596	2973
167	598	2965
168	602	2962
169	605	2955
170	607	2947
171	610	2938
172	613	2930
173	615	2922
174	618	2915
175	621	2909
176	624	2903
177	626	2895
178	629	2888
179	632	2880
180	636	2878
181	638	2869
182	640	2860
183	642	2851
184	645	2843
185	648	2836
186	651	2833
187	654	2824
188	656	2816
189	658	2808
190	660	2799
191	663	2793
192	669	2797
193	672	2792
194	675	2789
195	678	2783
196	684	2788
197	688	2788
198	691	2781
199	694	2776
200	698	2777
201	701	2771
202	704	2764
203	706	2756
204	709	2750
205	711	2743
206	714	2738
207	717	2733
208	720	2727
209	723	2721
210	725	2713
211	729	2711
212	731	2703
213	734	2696
214	736	2690
215	739	2684
216	742	2678
217	745	2674
218	748	2668
219	750	2661
220	752	2653
221	755	2647
222	757	2640
223	761	2637
224	764	2631
225	766	2626
226	769	2620
227	772	2617
228	779	2624
229	783	2624
230	786	2617
231	789	2613
232	794	2616
233	799	2617
234	802	2611
235	804	2606
236	811	2613
237	815	2611
238	819	2609
239	823	2607
240	827	2605
241	830	2601
242	834	2599
243	838	2596
244	845	2606
245	849	2602
246	853	2600
247	857	2599
248	860	2595
249	865	2595
250	870	2598
251	875	2599
252	879	2597
253	882	2593
254	889	2597
255	892	2594
256	895	2588
257	898	2583
258	902	2582
259	905	2576
260	907	2570
261	910	2563
262	912	2557
263	915	2551
264	918	2548
265	921	2542
266	924	2537
267	926	2531
268	929	2525
269	932	2521
270	935	2516
271	938	2512
272	941	2506
273	943	2500
274	946	2496
275	951	2496
276	954	2492
277	957	2486
278	960	2481
279	962	2476
280	967	2475
281	970	2470
282	972	2464
283	975	2459
284	977	2453
285	981	2450
286	984	2445
287	986	2439
288	989	2434
289	992	2429
290	995	2426
291	998	2421
292	1001	2415
293	1003	2409
294	1005	2403
295	1008	2398
296	1011	2394
297	1014	2389
298	1016	2383
299	1018	2377
300	1021	2371
301	1024	2366
302	1027	2364
303	1031	2361
304	1033	2356
305	1036	2350
306	1039	2345
307	1042	2341
308	1045	2338
309	1049	2336
310	1052	2331
311	1054	2326
312	1058	2323
313	1061	2319
314	1064	2314
315	1067	2310
316	1070	2305
317	1073	2301
318	1076	2297
319	1078	2292
320	1081	2288
321	1084	2283
322	1087	2279
323	1091	2277
324	1094	2272
325	1096	2267
326	1099	2263
327	1102	2259
328	1106	2256
329	1109	2252
330	1112	2248
331	1115	2244
332	1118	2241
333	1122	2237
334	1125	2234
335	1127	2229
336	1131	2225
337	1133	2221
338	1137	2217
339	1140	2213
340	1142	2208
341	1145	2204
342	1148	2199
343	1151	2195
344	1154	2191
345	1157	2187
346	1160	2182
347	1162	2178
348	1166	2175
349	1169	2171
350	1172	2167
351	1174	2161
352	1176	2156
353	1179	2152
354	1182	2148
355	1185	2144
356	1187	2139
357	1190	2134
358	1192	2129
359	1195	2124
360	1198	2120
361	1201	2117
362	1203	2112
363	1206	2107
364	1209	2103
365	1211	2099
366	1215	2097
367	1218	2092
368	1221	2088
369	1224	2084
370	1226	2079
371	1228	2074
372	1232	2071
373	1234	2066
374	1237	2062
375	1239	2057
376	1242	2052
377	1244	2048
378	1248	2045
379	1250	2040
380	1253	2035
381	1255	2031
382	1258	2026
383	1261	2023
384	1264	2019
385	1266	2015
386	1269	2010
387	1271	2005
388	1274	2001
389	1276	1997
390	1279	1993
391	1282	1989
392	1285	1985
393	1287	1980
394	1290	1976
395	1294	1973
396	1297	1970
397	1299	1966
398	1302	1961
399	1304	1957
400	1307	1953
401	1310	1950
402	1313	1946
403	1316	1941
404	1329	1952
405	1333	1950
406	1382	2014
407	1403	2036
408	1419	2050
409	1429	2057
410	1434	2055
411	1438	2052
412	1443	2051
413	1458	2064
414	1463	2063
415	1475	2071
416	1478	2066
417	1482	2063
418	1498	2077
419	1503	2076
420	1518	2088
421	1525	2089
422	1530	2088
423	1554	2112
424	1571	2125
425	1577	2125
426	1581	2121
427	1591	2127
428	1594	2122
429	1597	2117
430	1600	2113
431	1605	2110
432	1608	2106
433	1612	2102
434	1615	2098
435	1618	2093
436	1622	2089
437	1625	2085
438	1628	2081
439	1631	2076
440	1635	2072
441	1638	2068
442	1641	2063
443	1644	2059
444	1648	2056
445	1651	2051
446	1653	2045
447	1656	2040
448	1658	2035
449	1660	2029
450	1663	2024
451	1667	2021
452	1670	2017
453	1672	2011
454	1675	2006
455	1677	2001
456	1681	1997
457	1684	1993
458	1687	1988
459	1692	1986
460	1695	1981
461	1702	1982
462	1705	1977
463	1708	1973
464	1712	1970
465	1716	1967
466	1720	1963
467	1723	1959
468	1727	1956
469	1731	1952
470	1735	1948
471	1737	1944
472	1740	1939
473	1743	1934
474	1747	1931
475	1752	1929
476	1755	1924
477	1757	1919
478	1761	1916
479	1764	1911
480	1767	1906
481	1770	1902
482	1774	1899
483	1777	1895
484	1780	1890
485	1782	1885
486	1786	1881
487	1789	1877
488	1795	1876
489	1797	1871
490	1801	1867
491	1805	1864
492	1808	1860
493	1811	1855
494	1814	1850
495	1816	1845
496	1819	1841
497	1823	1838
498	1827	1834
499	1829	1829
500	1831	1824
501	1834	1820
502	1837	1815
503	1842	1812
504	1845	1808
505	1849	1805
506	1852	1801
507	1855	1797
508	1859	1793
509	1862	1789
