,title,company,link,description
0,Jr Data Scientist,Quantum Brains,http://www.indeed.com/rc/clk?jk=f36d08f448e10844&fccid=576b43f4fd61249a&vjs=3,"Responsibilities (include but not limited to the following)
Data collection and preparation
Improvement and testing of existing algorithms
Workflow testing and optimisation
Data visualisation
Qualifications
Basic mathematical background (probability theory and mathematical statistics)
Basic experience in machine learning (boosting, neural networks)
Desire to learn how to solve auxiliary tasks (linux, docker, ssh, git, etc.)
Desire to learn technologies: python, jupyter, numpy, pandas, sklearn, matplotlib, tensorflow"
1,DATA SCIENTIST (m/w/d) in Munich,Snke OS,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CamHkgOlbsx1rfl4LqVssE09Qzw244PZy0WV8EBvPXvmdAjU0A1vcy44t41pfyswTHMQhSnav40d_lVc18493u17leKIVUcpqlcKK6MwMnUjoM0jWuSecQShFoC0uVoZU_8ocggDyZHpYjdNFq4q7wiH81VNysPrPUkpa8u9_ECAIt8u6aB5VB1MgAiPC4GRCZgsvcHKgGZ84RSP-wUIZ2eX_phcZ2cVO0oruygANU1A9b_H5vZFruDvXe2R0pl1mqFaxaHw0JSaBCcO6SaCpzPAr8LT4lsdbToIL6RLpMooHgD3Eakm51tdV9730pWN2ruqjuBEhxvk1Gi0vQ_GJt-uTS-XecELKjlBTd3VfO5yxz-8TuqkNcMiZuKEF4hNuC0zc8XST5vLDD1R5cGsF9rLbPHNRPCrxKavSPeWpH9bKDUzZu22p_xfikD3Sf6gmXiaZ2frUhmA==&p=1&fvj=1&vjs=3,"What to expectWe are looking for an experienced Data Scientist to join our ambitious and growing Data Intelligence Team. In this role you will leverage your strong passion for understanding and modeling complex medical data to gain new insights and push the boundaries of software-supported medical procedures.As a Data Scientist, you willdevelop a deep understanding for medical data from multiple sources, including images, patient demographics, and treatment informationdesign, train and optimize algorithms to solve challenging data modeling tasks, thereby combining various data types in innovative waysmake use of state-of-the-art machine learning methods to extract information from big and diverse data setswork together with clinical experts in order to identify relevant questions, challenge your findings and evaluate their impact on real-world medical environmentsWhat you offerEducation in mathematics, physics, computer science or similarProfound experience in modeling complex data, ideally in the medical fieldStrong analytical, mathematical background and interest, allowing you to understand modern machine learning methods in all their details and making you eager to adapt and further develop these methods in your daily workIdeally, experience in image processingStrong background in using the Python ecosystem for efficient prototyping of your ideas, combined with a passion for and initial experience in (object-oriented) programmingEagerness to be part of a high-skilled, dynamic team where your talent is both challenged and supportedFluency in English, some knowledge of German (or willingness to learn) is a plusWhat we offerCentrally located, modern work spaces30 days of vacation, plus 24.12. and 31.12.Flexible working hoursFree gym courses with showers and changing roomsSecure bicycle storage roomUnlimited coffee, tea and bottled waterRestaurant and coffee shop on-siteRegular after-work, team & company eventsSheltered terrace on the Bavarian TowersInternational team of supportive colleaguesComprehensive training and continuing education opportunitiesInterested? Then we are looking forward to receiving your online application!Contact person: Géraldine EndresJob Types: Full-time, PermanentSchedule:Monday to FridayWork Remotely:Temporarily due to COVID-19"
2,Data Scientist (d/m/f),Bayes Esports,http://www.indeed.com/company/Bayes-Esports/jobs/Data-Scientist-c8b2964b778e3bf5?fccid=95770ab8f99526a2&vjs=3,"Full Job DescriptionThe world of esports is experiencing explosive growth and with that growth comes a wealth of opportunities. In a billion-dollar industry, where data is king, we at Bayes Esports Solutions have claimed our place as the newest market leader. Join us in the heart of Berlin, where startup culture meets metropolitan living, and work with top talent from all over the world.With our cutting-edge technology-driven products, we solve real issues that esport organizers, teams and media companies are facing every day. Partnerships with some of the biggest names in the esports and betting industries put Bayes in a unique position that allows the team to make a real impact in this vibrant and exciting space.**About your future team: **The Betting Team at Bayes is hard at work on something big and we need all of the passion and brainpower we can get. Whether you’re the type that’s got your ear to the ground of the Esports scene, a seasoned sports bettor or simply industry-curious— as long as you’ve got drive and a desire to grow alongside us— there’s a place for you in the group. We’re a tight-knit, enthusiastic and inquisitive bunch working together to build comprehensive betting solutions for a variety of clients. What’ll the next big thing in Esports betting be? Us and whatever we do.As the name suggests, we see ourselves primarily as a data-driven company and data scientists have a lot of impact in our day to day business. Our data science team constantly faces new interesting real-world problems and is encouraged to try out new methods and algorithms in order to find the best solution. We are currently looking for an experienced data scientist to join the team.**Your Responsibilities: **- Data acquisition and preprocessing from various sources (API’s, home-brewn parsers, web-scraping)- Data analysis as preparation for modeling- Building predictive models using Jupyter notebooks- Deploying those models ready for production in python**Your profile: **- You love clean data and will put in the time cleaning it- You ask “What kind of questions can I ask?” instead of just looking for answers- You have experience with established statistics and machine learning models (we mainly use sklearn and tensorflow)- You have either a strong scientific background or very good python skills (or ideally both)- You are a stickler details and data quality- You can use github- You are not afraid of learning new things by yourself- You take ownership of your projects- You are good at explaining your results to others- Strong knowledge of gaming and/or esports**Bonus: **- Experience with SQL and NoSQL databases- Experience with Docker- Experience with backend or frontend development- Knowledge of betting and the betting industry**We offer you: **- Flexible working hours- 10% of your work time to spend on esports and/or gambling topics of your choice (alone or as a team)- Internal training sessions in your field of profession and beyond- Weekly educational gaming sessions with the Betting Team- Two gaming rooms stocked with 6 PCs each to play and crush enemies with your colleagues- Bayes bar with free snacks and after work beers- Free massage sessions- Free coffee, water & soft drinks to stay focused and hydrated- Lots of game enthusiasts with whom you can talk and share game experiences- Subsidized public transportation ticket- Participation in our Virtual Share ProgramWe are open to remote for qualified candidates!We look forward to receiving your application (cover letter, CV, and references including code samples/projects) as well as your salary requirements and earliest possible starting date.Job Type: PermanentSalary: 55,000.00€ - 70,000.00€ per yearBenefits:Flexible scheduleFree drinksWork from homeSchedule:No weekendsWork Remotely:Temporarily due to COVID-19"
3,Machine Learning Scientist,dida Datenschmiede GmbH,http://www.indeed.com/company/Die-Datenschmiede/jobs/Machine-Learning-Scientist-a98985a165f75ab9?fccid=8e1751206f578cc3&vjs=3,"Job detailsJob TypeFull-timeBenefitsPulled from the full job descriptionFree drinksFull Job Descriptiondida is a machine learning software company with exciting problems for instance in computer vision and natural language processing. Our team tackles applied problems for different customers by using latest scientific advancements (especially in deep learning) and therefore believes that research oriented thinking can help solving real-world problems more efficiently.Youhold a MSc or PhD in machine learning, computer science or in a related fieldare a machine learning enthusiast with firm experience in applied data analysis, including deep learninghave solid programming experience with Python and its standard tools such as Tensorflow, PyTorch and Sklearnlike clean codeYou will meet an interdisciplinary team of people with a solid background in mathematics and statistics. We offer flexible working hours and have a nice office with good coffee in Berlin Schöneberg. We believe in science and support with publishing your research results.Find below a short description of two of our current projects.Estimate the amount of solar panels that fit on a roof (computer vision): Given a satellite picture and a ground image of a house, automatically detect certain elements of a roof (including obstacles, dormers etc.) in order to find out how many solar panels fit on it. This involves inferring 3d information from 2d pictures in order to infer the roof pitch.Detect, classify and suggest legal effectiveness of text paragraphs (NLP): Automatically go through thousands of legal documents with the goal to classify dedicated paragraphs and check their legal effectiveness. This involves converting scans to text, coming up with a labelling scheme (problem modelling), and detecting different paragraphs automatically, before tackling the inference task.Read more at www.dida.doJob Type: Full-timeBenefits:Free drinksWork from homeSchedule:Monday to Friday"
4,Data Scientist (m/f/div),ELEMENT Insurance AG,http://www.indeed.com/rc/clk?jk=f803a3030e68cc24&fccid=11378cc696caff68&vjs=3,"Full Job DescriptionELEMENT Insurance AG is a product factory for insurance and a leader in insurance digitalisation. We supply our partners from various industries – both from an insurer, as well as a non-insurer background – with in-house underwritten insurance products, which they market under their own brand. Our modular insurance platform enables us to tailor-fit and supply these non-life insurance products in record speed.

Our diverse team with over 25 nationalities combines the expertise of the worlds of insurance and technology. At ELEMENT, we live an agile and empowering company culture to work on ‘the insurance of tomorrow’.

We are currently looking for a Data Scientist (m/f/div) to further strengthen our Data team!

What will keep you challenged?

Work with complex data sets and applying advanced analytical methods as needed.
Develop customised models and algorithms together with our Pricing and Claims teams in order to evaluate pricing configurations or predict claims.
Drawing inferences and conclusions, communicating results through reports, charts or tables.
Interact with multiple stakeholders (from different levels) and present your findings
Defining and implementing KPIs together with internal and external stakeholders in order to monitor and improve overall performance
Building dashboards and visualisations of processed data, identifying trends and anomalies
Identify and develop innovative data workflows to optimize business processes


What will make you succeed?

A Bachelor’s or Master’s degree in a quantitative discipline (e.g., Statistics, Operations Research, Bioinformatics, Economics, Computational Biology, Computer Science, Mathematics, Physics, Electrical Engineering, Industrial Engineering), relevant industry experience will be considered
Knowledge of Econometrics, Statistics and Machine Learning methods: GLM, Regression, Classification, Random Forest, Boosting and Trees. Autonomy while exploring different kinds of data and formulating novel solutions for problems.
Experience with data analytics and end-to-end data processing: from data gathering, cleansing and merging to modelling.
Sound experience with the Python ecosystem for scientific computing (numpy, pandas, scikit-learn, matplotlib, etc.);
Expertise using SQL for extracting and transforming data.
Experience with code sharing with Github.
Experience with Google Cloud Platform or Amazon SageMaker.
Nice to have - experience with reporting frameworks: Qlik, Tableau, SSRS or Power BI;
Great communication skills, both verbal and written, in English is a must. German language skills are a bonus.
Why ELEMENT?

The opportunity to be part of a driven and diverse team which is creating a measurable impact on the future of insurance
An open and welcoming company culture, empowering you to freely grow and develop
We openly share our knowledge – we are a mix of insurance experts, technology specialists and experienced entrepreneurs
We have a dedicated onboarding process, enabling you to quickly thrive at ELEMENT
A direct influence on our company and our products – we value your ideas and your input
Plenty of perks including a benefits package, choice of computer, drinks and snacks, language classes, company-wide networking events and outings


We are looking forward to your application!"
5,Data Scientist,Quantum Brains,http://www.indeed.com/rc/clk?jk=e4f3be7d7187d00b&fccid=576b43f4fd61249a&vjs=3,"Responsibilities (include but not limited to the following)
Data collection and preparation
Design of end-to-end analytical solutions (predictive and prescriptive modeling)
Algorithm development and optimization
Data visualisation
Qualifications
Strong mathematical background (probability theory and mathematical statistics)
Experience in machine learning (boosting, neural networks)
Capability to solve auxiliary tasks (linux, docker, ssh, git, etc.)
Technologies: python, jupyter, numpy, pandas, sklearn, matplotlib, tensorflow"
6,Corporate Actuary/ Actuarial Analyst/ Data Scientist (m/f/d),Allianz SE,http://www.indeed.com/company/Allianz/jobs/Corporate-Actuary-342467d7ca213757?fccid=bf422d4af99309b2&vjs=3,"Job detailsJob TypeFull-timeFull Job DescriptionJob Purpose/RoleGroup Actuarial is the corporate actuarial department of the Allianz Group based in Munich, Germany. P&C Actuarial Analysts at Group Actuarial provide oversight on actuarial reserving, assess portfolio performance, are responsible for overseeing actuarial activities of its companies worldwide and work on topical projects.You will be responsible for the actuarial oversight of several subsidiaries. You will develop solutions for analyzing and estimating claims experience. You will use traditional methodologies, but also predictive models and machine learning approaches to implement state-of-the-art solutions. You will be part of a small team and collaborate closely with international Actuaries and Data Scientists. You will keep up to date with industry and data science standards and build bridges to the traditional actuarial world.Key Responsibilities- Provide oversight of loss reserving / technical provisions and actuarial performance models- Analyze profitability of portfolios- Develop new concepts for analyzing and estimating claims experience- Enhance actuarial analyses by using machine learning approaches- Drive forward actively streamlining and automatization of internal processes- Work in close cooperation with subsidiaries across the globe- Participate in cutting-edge projectsKey Requirements/Skills/ExperienceQualification: - Tertiary qualification (ideally Master or PhD), preferably in Actuarial Science, Mathematics, Statistics or Data Science- Strong analytical and conceptual capabilities, problem solving ability- Python is a must, expertise in machine learning methods would be a plus- SQL would be beneficialExperience & Key Skills: - Very good proficiency of the English language- Good communication and presentation skills, especially ability to convey information to non-expert audience and senior management- Pro-active communication approach and strong ability to work independentlyAdditional InformationSenior Recruiter: Ms. Sabrina DiClemente Phone: +49 (0)89 3800- 69518Please submit your applications only via the tool (blue button above).Reference CodeAZSE-7685068-3Allianz is the home for those who dare – a supportive place where you can take the initiative to grow and to actively strengthen our global leadership position. By truly caring about people – both its 85 million private and corporate customers and more than 142,000 employees – Allianz fosters a culture where its employees are empowered to collaborate, perform, embrace trends and challenge the industry. Our main ambition is to be our customers’ trusted partner, instilling them with the confidence to grow. If you dare, join us at Allianz Group.Allianz is an equal opportunity employer. Everybody is welcome, regardless of other characteristics such as gender, age, origin, nationality, race or ethnicity, religion, disability, or sexual orientation.Allianz SE is the global headquarters of the Allianz Group. Our employees reflect the Group's geographic and functional diversity. Located in Munich, Allianz SE provides the perfect opportunity to start or continue with your international career.Please submit your complete application documents (incl. CV, certificates, references and motivation letter) We are looking forward to receiving your application on www.allianz.com/careers.Allianz SE is committed to employment equality and therefore welcomes applications from all people regardless of gender identity and/or expression, sexual orientation, race or ethnicity, age, nationality, religion, disability, or philosophy of life.Allianz SEMünchenBewerbungsfrist: 3.10.2020Job Type: Full-timeSchedule:Day shiftWork Remotely:Temporarily due to COVID-19"
7,Data Scientist (m/f/x),Ferratum,http://www.indeed.com/rc/clk?jk=d28d70aaa33dbb8a&fccid=9be1161d4e180495&vjs=3,"Full Job DescriptionFerratum is a leading international provider of mobile financial services, building an online financial ecosystem that transcends the hassle of physical banking and financial transactions into a paperless and borderless real-time experience for our customers.

We provide innovative mobile banking, as well as digital consumer and small business loans, all distributed and managed by mobile devices. Founded in 2005 and headquartered in Helsinki, Finland, today we operate in 23 markets across Europe, Africa, South and North America, Australia and Asia. Ferratum Group is listed on the Prime Standard of Frankfurt Stock Exchange under symbol 'FRU'.

As a global thinking company, we are proud of our diversity and currently employ people from over 30 different nationalities and walks of life. We support employee interests, hobbies, and goals both inside and outside of Ferratum because we understand that happy people make happy employees! We believe in our values and we commit to:


Customer centricity - our customers are at the heart of what we do, why we exist, whom we first serve;
Entrepreneurial Spirit - we are curious to learn new things, innovative in finding solutions, we move fast, stay agile, have low hierarchies, avoid unnecessary bureaucracy, we propose, challenge and take decisions as if Ferratum was our own business;
Candor - we communicate openly, transparently and honestly with each other;
Respect - we respect our customers – internal and external ones – our colleagues, our partners, our investors, all our other stakeholders evenly, in all our actions and communications;
Winning teams - we have each other’s back and as a family across teams we stick together, fight together and when we achieve our goals, we celebrate together.


We are looking for a Data Scientist who will support various business initiatives by providing end-to-end machine learning solutions. The ideal candidate is adept at using large datasets to find opportunities for improving decision making and process optimization. They must have experience with data mining and analysis, model development and implementation, using/creating algorithms and creating/running experiments. They must have a proven ability to drive business results with data-driven insights. The right candidate will have a passion for innovating and discovering different solutions in order to improve business outcomes.


Responsibilities


Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
Mine and analyze data from company databases to provide meaningful insights.
Employ machine learning and statistical methods to drive optimization and improvement of product development, marketing techniques, credit scoring, collections optimization and other business strategies.
Design and track performance of A/B tests providing data-driven insights.
Develop processes and tools to monitor and analyze model performance and data accuracy.
Produce relevant documentation related to model performance.


About You


Degree in data science, statistics, mathematics, econometrics or similar field
Experience using programming languages (R, Python, SQL, etc.) to manipulate data, develop models and draw insights.
Knowledge of a variety of machine learning techniques, understanding of different algorithms and their real-world advantages/drawbacks.
Ability to use different data visualization practices to provide data-driven insights.
Excellent written and verbal English communication skills
Experience of working on machine learning projects related to marketing, credit scoring or collections is an advantage."
8,Data Scientist Advanced Analytics (m/w/d),Verti Versicherung AG,http://www.indeed.com/rc/clk?jk=08cc9aea436dcf43&fccid=ebca239e549aeb33&vjs=3,"Es ist unser Anspruch unseren Kunden stets passgenaue Produkte sowie einen außergewöhnlichen Service bieten zu können. Daher legen wir einen besonderen Wert auf die Analyse und Interpretation unserer relevanten Datenbestände. Im Bereich Advanced Analytics gewinnen wir mit Hilfe neuester Technologien und Methoden in Bezug auf präskriptive Datenmodellierung wertvolle Erkenntnisse und lassen diese in konkrete Realisierungsmaßnahmen fließen. Werde Data Scientist (m/w/d) im Team Advanced Analytics und unterstütze uns bei der Weiterentwicklung unserer Analyselösungen.
Werde Teil von Verti - in Teltow bei Berlin.
Die Position ist in Voll- oder Teilzeit zu besetzen.
Data Scientist Advanced Analytics (m/w/d)
Referenznummer: 2325
Das erwartet Dich:
Eigenständige Erhebung, Bereinigung und Transformation großer Datenmengen
Mitgestaltung datengetriebener Lösungen für unser operatives Geschäft
Eigenverantwortliche Entwicklung von prädiktiven Modellen zur wertorientierten Bestandserhaltung sowie zum Bestandswachstum
Proaktives Ableiten spezifischer Kunden- und Marktpotenziale aus den Modellen
Monitoring/ Reporting der Modelle und Lösungen mittels aussagekräftiger KPIs
Enge bereichsübergreifende Zusammenarbeit mit unterschiedlichen Abteilungen (Aktuariat, Data Ware House, CRM) zu Themen wie Cross-/ Up-Selling, Customer Journey, Conversion oder Kundencluster
Projektarbeit sowie Austausch innerhalb unseres Mutterkonzernes MAPFRE zum konzernweiten strategischen Thema „Advanced Analytics“
Das bringst Du mit:
Erfolgreich abgeschlossenes Studium mit relevantem Schwerpunkt (z.B. Mathematik, Statistik, Physik, Informatik oder Wirtschaftswissenschaften mit entsprechender Weiterbildung)
Berufserfahrung im Bereich Advanced Analytics und ausgeprägtes Interesse an Zukunftsthemen wie ""Big Data"" oder ""Machine Learning""
Sicherer Umgang mit SQL und mit mindestens einer Data-Science-nahen Programmierungsumgebung wie R, Python, Matlab oder ähnliche
Kenntnisse in Data-Science-Methoden (bspw. GLM, random forest, gradient boosting, clustering, PCA) und automatisierter Entscheidungsfindung
Sehr gutes analytisches Denkvermögen, schnelle Auffassungsgabe sowie lösungsorientierte und strukturierte Arbeitsweise
Fähigkeit, komplexe Fragestellungen klar und verständlich zu visualisieren und zu kommunizieren
Teamfähigkeit und Entscheidungsfreude
Sehr gute Deutsch- und Englischkenntnisse, Spanischkenntnisse von Vorteil
Das bieten wir Dir:
Ein verlässlicher Partner in besonderen Zeiten: Wir bieten unseren Bewerberinnen und Bewerbern Verlässlichkeit und Perspektiven in der aktuellen Situation und stellen weiterhin ein. Dabei haben die Gesundheit und Sicherheit unserer Bewerberinnen und Bewerber sowie unserer Mitarbeitenden oberste Priorität. Wir nutzen im Bewerbungsprozess virtuelle Medien (bspw. Video-Interviews) und halten uns bei persönlichen Gesprächen an definierte Hygiene- und Abstandsregeln.
Arbeiten und Wohlfühlen: Du sollst Dich bei uns wohlfühlen und erfolgreich sein können. Dafür bieten wir Dir beste Rahmenbedingungen:
Einen unbefristeten Arbeitsvertrag mit einem Jahresurlaubsanspruch von 30 Tagen
Vielfältige Weiterbildungsmöglichkeiten und Karrierechancen
Flexible Arbeitszeiten sowie die Möglichkeit zum mobilen Arbeiten
Moderner und ergonomisch gestalteter Arbeitsplatz
Subventionierte Kantine mit täglich frischen und leckeren Gerichten
Firmeneigenes Fitnessstudio mit Gesundheitscoach sowie diverse Sport- und Gesundheitsangebote (u.a. Massageangebot, Betriebsarzt)
Eltern-Kind-Büro
Attraktive Mitarbeiterrabatte
… und natürlich ein starkes Team mit tollen Kolleginnen und Kollegen.
Lokal und Global: Bei uns kannst Du Dich je nach Aufgabengebiet in internationale Projekte einbringen und in internationalen Teams innerhalb des MAPFRE-Konzerns arbeiten.
Innovation und Expertise: Ein Umfeld, in dem innovative, digitale Ideen wie in einem Start-up vorangetrieben werden - mit dem Know-how einer seit über 20 Jahren im Markt erfolgreichen Versicherung.
Vielfalt und Nachhaltigkeit: Als Unterzeichner der Charta der Vielfalt stehen wir für Diversität und Gerechtigkeit am Arbeitsplatz. Ebenso hat bei uns der verantwortungsvolle Umgang mit Ressourcen einen hohen Stellenwert, welches wir mit verschiedenen Projekten realisieren."
9,Data Scientist - 360° (m/w/d),ABOUT YOU GmbH,http://www.indeed.com/rc/clk?jk=a5e759c610e359b7&fccid=8fc03864faca6f74&vjs=3,"Full Job DescriptionUnternehmensbeschreibung

Der Online-Fashionshop ABOUT YOU gehört zu den am schnellsten wachsenden E-Commerce-Playern Europas und wurde bereits mehrfach ausgezeichnet. Als Mode- und Technologieunternehmen arbeiten wir gemeinsam an unserem Ziel, das Einkaufserlebnis für unsere Kunden inspirierender und persönlicher zu gestalten.
Das Online Marketing stellt einen der wichtigsten Bereiche von ABOUT YOU dar. Hier werden unsere ABOUT YOU Kampagnen auf verschiedenen Kanälen verbreitet, ihr Erfolg analysiert und die dazugehörigen Marketing-Prozesse kontinuierlich verbessert. Als Teil des 360° Teams bist du für verschiedene Projekte verantwortlich und arbeitest KPI getrieben und analytisch. Du bist den Trends im Markt immer einen Schritt voraus und steuerst in enger Zusammenarbeit mit unseren weiteren Online Marketing Teams die verschiedenen Kanäle gewinnbringend (u.a. Facebook, Google) und treibst so das Wachstum von ABOUT YOU voran.
Als Data Scientist - 360° (m/w/d) übernimmst Du die Verantwortung für datengetriebene Analysen und Projektthemen aus unserem gesamten Aufgabenspektrum.
Verantwortungen
Entwicklung und Evaluierung statistischer Modelle sowie Algorithmen für vielschichtige Marketing Fragestellungen
Eigenständige Analyse komplexer Daten mit dem Ziel neue Erkenntnisse und Potentiale zur Performance Optimierung aufzuzeigen
Identifizierung von direkten und indirekten Zusammenhängen relevanter Kennzahlen sowie Ableitung von Handlungsempfehlungen
Inhaltliche Verknüpfung und Nutzung von Daten aus Tracking-Systemen und anderen Reporting-Quellen
Unterstützung bei der Weiterentwicklung und dem Testing performance-relevanter (Attributions-)Modelle
Initiierung und Weiterentwicklung von Vorhersage- und Klassifikationsmodellen unter Verwendung von Machine Learning Algorithmen
Anforderungen
Überdurchschnittlich gut abgeschlossenes Studium in einem analytisch geprägten Studiengang – vorzugsweise der Data Science, (Wirtschafts-)Mathematik oder -informatik – oder Statistik
Mindestens zwei Jahre praktische Erfahrungen im Gebiet Data Science, vorzugsweise in einer Agentur oder im Bereich E-Commerce
Fundierte Statistikkenntnisse, eine ausgeprägte Datenaffinität sowie ein gutes Verständnis für (komplexe) Datenstrukturen und darin enthaltenen Mustern
Erste Erfahrungen hinsichtlich Machine Learning Algorithmen sowie Kenntnisse der gängigen Datenanalyse-Methoden (z.B. Regression, Clustering) als auch Marketing-Attributions-Modellen sind ein Plus
Gute Kenntnisse in SQL sowie R oder Python sind Voraussetzung
Viel Neugier für neue Themen, statistische Methoden und aktuelle, technische Entwicklungen
Ausgeprägte analytische Fähigkeiten und Spaß am Umgang mit Zahlen
Fähigkeit, Prozesse und Analysen leicht zu erfassen und klar zu kommunizieren
Benefits
Sei Teil eines der am schnellsten wachsenden E-Commerce Unternehmen Europas
Flexible Arbeitszeiten
Betriebliche Altersvorsorge  nur für Festangestellte
40% Rabatt in unserem Online Shop
Bio-Obst und Getränke
Kostenlose Sprachkurse (Deutsch & Englisch)
Kostenlose Sportangebote (Fußball, Volleyball, Yoga) & Begünstigung von Fitnessangeboten
Bezuschussung HVV Profi-Card
Freie Wahl von Hardware und Betriebssystem (Mac, Windows, Linux) auch für den privaten Gebrauch
Modernes Office in der Nähe des Hamburger Rathauses
Agiles Arbeitsumfeld und crossfunktionale, internationale Teams
Hunde erlaubt
Weiterbildungsangebote
Durch unser starkes Wachstum kannst Du bereits frühzeitig Verantwortung übernehmen und mitgestalten. Unser Team besteht aus Experten verschiedenster Bereiche: Ob Mode, Marketing, Business oder Tech – uns verbindet die Leidenschaft für das, was wir tun. Wir motivieren und unterstützen uns gegenseitig, teilen unser Know-How miteinander und stehen anderen Meinungen und neuen Ideen offen gegenüber.
Wir freuen uns auf Deine Bewerbung – am liebsten online über unser Bewerbungsportal. So können wir einen schnelleren Prozess gewährleisten und auch für Dich ist es ganz einfach Deine Bewerbungsunterlagen hochzuladen! :-)
Dein Ansprechpartner
Björn Boldt
T +49 40 638 569 293
ABOUT YOU GmbH
Domstraße 10 | 20095 Hamburg

Stellenbeschreibung

null

Qualifikationen

null

Zusätzliche Informationen

null"
