iter	Passed	Remaining
0	57	56952
1	62	31257
2	70	23465
3	75	18678
4	81	16141
5	85	14082
6	87	12382
7	90	11185
8	92	10193
9	97	9661
10	99	8989
11	102	8413
12	105	8023
13	110	7806
14	113	7481
15	122	7504
16	124	7185
17	127	6935
18	130	6722
19	133	6534
20	145	6774
21	147	6572
22	150	6400
23	156	6366
24	160	6269
25	163	6113
26	165	5963
27	171	5947
28	176	5913
29	179	5791
30	181	5682
31	184	5578
32	187	5500
33	191	5445
34	193	5348
35	196	5274
36	199	5191
37	202	5122
38	205	5057
39	207	4987
40	211	4936
41	215	4923
42	219	4890
43	222	4824
44	224	4763
45	229	4752
46	234	4747
47	237	4709
48	239	4654
49	241	4595
50	244	4549
51	248	4531
52	251	4488
53	253	4438
54	255	4383
55	257	4337
56	261	4332
57	264	4301
58	267	4260
59	269	4226
60	271	4186
61	274	4152
62	277	4123
63	279	4088
64	281	4050
65	284	4019
66	286	3983
67	288	3951
68	291	3932
69	293	3902
70	295	3871
71	298	3849
72	301	3829
73	303	3800
74	305	3769
75	308	3747
76	310	3723
77	313	3701
78	315	3678
79	317	3651
80	319	3624
81	321	3600
82	324	3586
83	326	3564
84	328	3537
85	330	3515
86	333	3502
87	336	3487
88	341	3493
89	344	3481
90	346	3464
91	349	3444
92	351	3427
93	353	3406
94	356	3395
95	359	3381
96	361	3363
97	363	3346
98	365	3324
99	367	3305
100	369	3292
101	372	3275
102	373	3254
103	375	3238
104	377	3219
105	379	3199
106	381	3182
107	383	3167
108	385	3152
109	388	3139
110	390	3124
111	392	3108
112	394	3093
113	395	3075
114	397	3060
115	399	3047
116	402	3038
117	404	3022
118	406	3012
119	408	2998
120	410	2984
121	412	2968
122	414	2956
123	416	2942
124	418	2931
125	421	2924
126	423	2910
127	425	2900
128	427	2886
129	429	2873
130	431	2862
131	433	2852
132	435	2841
133	438	2831
134	439	2818
135	442	2808
136	444	2798
137	446	2792
138	449	2785
139	451	2776
140	453	2765
141	456	2755
142	458	2747
143	460	2738
144	463	2733
145	465	2723
146	468	2717
147	472	2717
148	478	2734
149	481	2728
150	484	2722
151	487	2719
152	490	2713
153	492	2707
154	497	2710
155	499	2701
156	501	2694
157	505	2691
158	507	2684
159	510	2681
160	514	2682
161	517	2676
162	519	2669
163	522	2661
164	525	2660
165	528	2652
166	531	2649
167	534	2644
168	536	2637
169	539	2632
170	542	2629
171	547	2637
172	553	2645
173	556	2639
174	558	2633
175	561	2628
176	564	2623
177	566	2616
178	569	2612
179	572	2610
180	576	2607
181	579	2602
182	581	2595
183	584	2590
184	586	2584
185	589	2580
186	592	2576
187	594	2568
188	597	2561
189	599	2555
190	601	2546
191	604	2542
192	606	2537
193	611	2540
194	614	2537
195	619	2539
196	621	2534
197	624	2530
198	628	2528
199	630	2520
200	632	2513
201	634	2507
202	638	2505
203	640	2499
204	642	2491
205	644	2482
206	646	2477
207	649	2472
208	653	2472
209	655	2467
210	657	2458
211	658	2449
212	660	2441
213	662	2434
214	665	2431
215	668	2427
216	670	2420
217	672	2412
218	674	2404
219	675	2396
220	677	2389
221	680	2384
222	682	2379
223	686	2377
224	688	2371
225	691	2366
226	693	2361
227	696	2357
228	698	2352
229	700	2345
230	702	2339
231	704	2331
232	706	2325
233	708	2320
234	710	2313
235	712	2307
236	715	2302
237	717	2298
238	719	2291
239	721	2285
240	723	2279
241	725	2273
242	728	2268
243	730	2262
244	732	2256
245	734	2250
246	736	2244
247	738	2238
248	740	2233
249	742	2226
250	744	2222
251	746	2216
252	748	2210
253	750	2205
254	752	2198
255	754	2192
256	757	2188
257	759	2185
258	761	2179
259	764	2174
260	765	2168
261	767	2162
262	769	2155
263	771	2150
264	773	2146
265	776	2141
266	778	2136
267	780	2131
268	782	2125
269	783	2119
270	785	2113
271	787	2107
272	789	2102
273	791	2098
274	793	2091
275	795	2087
276	797	2082
277	799	2076
278	801	2070
279	803	2065
280	805	2062
281	807	2057
282	809	2051
283	811	2047
284	814	2043
285	816	2038
286	819	2034
287	820	2029
288	823	2025
289	824	2019
290	827	2015
291	829	2010
292	830	2004
293	832	2000
294	835	1995
295	837	1991
296	839	1986
297	841	1982
298	843	1976
299	845	1972
300	846	1966
301	848	1961
302	851	1958
303	853	1954
304	855	1950
305	857	1945
306	859	1939
307	861	1935
308	863	1930
309	865	1925
310	867	1921
311	870	1918
312	871	1913
313	873	1908
314	875	1903
315	876	1898
316	878	1892
317	880	1888
318	882	1883
319	884	1879
320	886	1874
321	888	1870
322	890	1865
323	892	1861
324	894	1857
325	896	1852
326	898	1848
327	900	1844
328	901	1839
329	903	1835
330	905	1830
331	908	1827
332	910	1823
333	912	1819
334	914	1815
335	917	1812
336	918	1807
337	920	1803
338	922	1799
339	924	1795
340	926	1791
341	929	1787
342	931	1783
343	933	1779
344	934	1774
345	936	1770
346	938	1765
347	940	1761
348	942	1757
349	944	1754
350	947	1751
351	948	1746
352	950	1742
353	952	1738
354	954	1733
355	956	1729
356	957	1725
357	960	1721
358	962	1719
359	964	1714
360	967	1712
361	969	1708
362	972	1705
363	974	1702
364	976	1698
365	978	1694
366	979	1690
367	982	1686
368	983	1682
369	985	1678
370	987	1673
371	989	1670
