,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked
0,0,3,"Braund, Mr. Owen Harris",male,22.0,1,0,0.6836025091934652,S
1,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,1,0,1.450831806878886,C
2,1,3,"Heikkinen, Miss. Laina",female,26.0,0,0,0.7275593897135163,S
3,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,1,0,1.3793142890599341,S
4,0,3,"Allen, Mr. William Henry",male,35.0,0,0,0.7350911493182706,S
5,0,3,"Moran, Mr. James",male,26.507588932806325,0,0,0.7585360624442683,Q
6,0,1,"McCarthy, Mr. Timothy J",male,54.0,0,0,1.373360069058279,S
7,0,3,"Palsson, Master. Gosta Leonard",male,2.0,3,1,1.1145143460369606,S
8,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,0,2,0.8796021070737157,S
9,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0,1,0,1.2248203564496807,C
10,1,3,"Sandstrom, Miss. Marguerite Rut",female,4.0,1,1,1.0351074444527193,S
11,1,1,"Bonnell, Miss. Elizabeth",female,58.0,0,0,1.1875475700043259,S
12,0,3,"Saundercock, Mr. William Henry",male,20.0,0,0,0.7350911493182706,S
13,0,3,"Andersson, Mr. Anders Johan",male,39.0,1,5,1.2362906289100162,S
14,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0,0,0,0.7232147953552717,S
15,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0,0,0,1.0197814405382262,S
16,0,3,"Rice, Master. Eugene",male,2.0,4,1,1.2153864932212857,Q
17,1,2,"Williams, Mr. Charles Eugene",male,30.74070707070707,0,0,0.9419387347481111,S
18,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0,1,0,1.0613851298016763,S
19,1,3,"Masselmani, Mrs. Fatima",female,21.75,0,0,0.6818573060879378,C
20,0,2,"Fynney, Mr. Joseph J",male,35.0,0,0,1.1811431408094568,S
21,1,2,"Beesley, Mr. Lawrence",male,34.0,0,0,0.9419387347481111,S
